"","TimeStamp","axis1","axis2","axis3","vm","steps","days","wearing","weekday"
"1",2017-11-07 00:00:00,0,0,0,0,0,1,"nw","Tuesday"
"2",2017-11-07 00:01:00,102,140,361,434,1,1,"w","Tuesday"
"3",2017-11-07 00:02:00,0,0,0,0,0,1,"w","Tuesday"
"4",2017-11-07 00:03:00,0,0,0,0,0,1,"w","Tuesday"
"5",2017-11-07 00:04:00,0,0,0,0,0,1,"w","Tuesday"
"6",2017-11-07 00:05:00,0,0,0,0,0,1,"w","Tuesday"
"7",2017-11-07 00:06:00,0,0,0,0,0,1,"w","Tuesday"
"8",2017-11-07 00:07:00,0,0,0,0,0,1,"w","Tuesday"
"9",2017-11-07 00:08:00,0,0,0,0,0,1,"w","Tuesday"
"10",2017-11-07 00:09:00,0,0,0,0,0,1,"w","Tuesday"
"11",2017-11-07 00:10:00,0,0,0,0,0,1,"w","Tuesday"
"12",2017-11-07 00:11:00,0,0,0,0,0,1,"w","Tuesday"
"13",2017-11-07 00:12:00,208,312,494,709,2,1,"w","Tuesday"
"14",2017-11-07 00:13:00,83,128,114,212,1,1,"w","Tuesday"
"15",2017-11-07 00:14:00,0,0,0,0,0,1,"w","Tuesday"
"16",2017-11-07 00:15:00,129,511,586,849,2,1,"w","Tuesday"
"17",2017-11-07 00:16:00,252,259,635,817,3,1,"w","Tuesday"
"18",2017-11-07 00:17:00,300,356,1183,1313,2,1,"w","Tuesday"
"19",2017-11-07 00:18:00,0,0,0,0,0,1,"w","Tuesday"
"20",2017-11-07 00:19:00,0,0,0,0,0,1,"w","Tuesday"
"21",2017-11-07 00:20:00,0,0,0,0,0,1,"w","Tuesday"
"22",2017-11-07 00:21:00,0,0,0,0,0,1,"w","Tuesday"
"23",2017-11-07 00:22:00,0,0,0,0,0,1,"w","Tuesday"
"24",2017-11-07 00:23:00,0,0,0,0,0,1,"w","Tuesday"
"25",2017-11-07 00:24:00,9,10,146,147,1,1,"w","Tuesday"
"26",2017-11-07 00:25:00,293,96,536,669,3,1,"w","Tuesday"
"27",2017-11-07 00:26:00,0,0,0,0,0,1,"w","Tuesday"
"28",2017-11-07 00:27:00,0,0,0,0,0,1,"w","Tuesday"
"29",2017-11-07 00:28:00,0,0,0,0,0,1,"w","Tuesday"
"30",2017-11-07 00:29:00,0,0,0,0,0,1,"w","Tuesday"
"31",2017-11-07 00:30:00,0,0,0,0,0,1,"w","Tuesday"
"32",2017-11-07 00:31:00,0,0,0,0,0,1,"w","Tuesday"
"33",2017-11-07 00:32:00,0,0,0,0,0,1,"w","Tuesday"
"34",2017-11-07 00:33:00,0,0,0,0,0,1,"w","Tuesday"
"35",2017-11-07 00:34:00,0,0,0,0,0,1,"w","Tuesday"
"36",2017-11-07 00:35:00,0,0,0,0,0,1,"w","Tuesday"
"37",2017-11-07 00:36:00,0,0,0,0,0,1,"w","Tuesday"
"38",2017-11-07 00:37:00,0,0,0,0,0,1,"w","Tuesday"
"39",2017-11-07 00:38:00,0,0,0,0,0,1,"w","Tuesday"
"40",2017-11-07 00:39:00,0,0,0,0,0,1,"w","Tuesday"
"41",2017-11-07 00:40:00,0,0,0,0,0,1,"w","Tuesday"
"42",2017-11-07 00:41:00,0,0,0,0,0,1,"w","Tuesday"
"43",2017-11-07 00:42:00,0,0,0,0,0,1,"w","Tuesday"
"44",2017-11-07 00:43:00,0,0,0,0,0,1,"w","Tuesday"
"45",2017-11-07 00:44:00,0,0,0,0,0,1,"w","Tuesday"
"46",2017-11-07 00:45:00,0,0,5,5,0,1,"w","Tuesday"
"47",2017-11-07 00:46:00,0,0,0,0,0,1,"w","Tuesday"
"48",2017-11-07 00:47:00,0,0,0,0,0,1,"w","Tuesday"
"49",2017-11-07 00:48:00,0,0,0,0,0,1,"w","Tuesday"
"50",2017-11-07 00:49:00,0,0,0,0,0,1,"w","Tuesday"
"51",2017-11-07 00:50:00,0,0,0,0,0,1,"w","Tuesday"
"52",2017-11-07 00:51:00,0,0,0,0,0,1,"w","Tuesday"
"53",2017-11-07 00:52:00,0,0,0,0,0,1,"w","Tuesday"
"54",2017-11-07 00:53:00,0,0,0,0,0,1,"w","Tuesday"
"55",2017-11-07 00:54:00,0,0,0,0,0,1,"w","Tuesday"
"56",2017-11-07 00:55:00,0,0,0,0,0,1,"w","Tuesday"
"57",2017-11-07 00:56:00,0,0,0,0,0,1,"w","Tuesday"
"58",2017-11-07 00:57:00,8,7,271,272,0,1,"w","Tuesday"
"59",2017-11-07 00:58:00,0,0,0,0,0,1,"w","Tuesday"
"60",2017-11-07 00:59:00,0,0,0,0,0,1,"w","Tuesday"
"61",2017-11-07 01:00:00,0,0,0,0,0,1,"w","Tuesday"
"62",2017-11-07 01:01:00,0,0,0,0,0,1,"w","Tuesday"
"63",2017-11-07 01:02:00,0,0,0,0,0,1,"w","Tuesday"
"64",2017-11-07 01:03:00,0,0,0,0,0,1,"w","Tuesday"
"65",2017-11-07 01:04:00,0,0,0,0,0,1,"w","Tuesday"
"66",2017-11-07 01:05:00,0,0,0,0,0,1,"w","Tuesday"
"67",2017-11-07 01:06:00,0,0,0,0,0,1,"w","Tuesday"
"68",2017-11-07 01:07:00,0,0,0,0,0,1,"w","Tuesday"
"69",2017-11-07 01:08:00,0,0,43,43,0,1,"w","Tuesday"
"70",2017-11-07 01:09:00,0,0,0,0,0,1,"w","Tuesday"
"71",2017-11-07 01:10:00,0,0,0,0,0,1,"w","Tuesday"
"72",2017-11-07 01:11:00,0,0,0,0,0,1,"w","Tuesday"
"73",2017-11-07 01:12:00,0,0,0,0,0,1,"w","Tuesday"
"74",2017-11-07 01:13:00,0,0,0,0,0,1,"w","Tuesday"
"75",2017-11-07 01:14:00,0,0,0,0,0,1,"w","Tuesday"
"76",2017-11-07 01:15:00,0,0,0,0,0,1,"w","Tuesday"
"77",2017-11-07 01:16:00,0,0,0,0,0,1,"w","Tuesday"
"78",2017-11-07 01:17:00,0,0,0,0,0,1,"w","Tuesday"
"79",2017-11-07 01:18:00,0,0,0,0,0,1,"w","Tuesday"
"80",2017-11-07 01:19:00,74,73,99,149,2,1,"w","Tuesday"
"81",2017-11-07 01:20:00,0,0,0,0,0,1,"w","Tuesday"
